Image,CD20p_S,CD3pCD8nPD1n_S,CD3pCD8nPD1p_S,CD3pCD8pPD1n_S,CD3pCD8pPD1p_S,CD68pPDL1n_S,CD68pPDL1p_S,CD79ApCD20n_S,CKpPDL1p_S,Negative_S,PD1p_S,CD20p_E,CD3pCD8nPD1n_E,CD3pCD8nPD1p_E,CD3pCD8pPD1n_E,CD3pCD8pPD1p_E,CD68pPDL1n_E,CD68pPDL1p_E,CD79ApCD20n_E,CKpPDL1p_E,Negative_E,PD1p_E,area_stroma,area_epi,SEC_ROW_COL,ID
"CIHR DOD WU3IROC_Core[2,1,8]_[9553,37334]_component_data.tif - resolution #1",2,0,0,4,0,34,1,0,0,294,0,0,0,0,0,0,21,0,0,0,3339,1,0.0500619,0.3442163,"2,1,8",056(om)
"CIHR DOD WU3IROC_Core[2,1,9]_[9362,38456]_component_data.tif - resolution #1",0,0,0,0,0,12,7,0,0,325,0,0,0,0,0,0,4,0,0,0,2381,0,0.0580233,0.2737112,"2,1,9",057(ov)
"CIHR DOD WU3IROC_Core[2,2,1]_[8455,28862]_component_data.tif - resolution #1",0,2,6,5,2,33,0,0,0,340,3,0,2,2,1,0,17,0,0,0,1877,1,0.0636195,0.2754988,"2,2,1",064(om)
"CIHR DOD WU3IROC_Core[2,2,10]_[8145,39673]_component_data.tif - resolution #1",1,16,13,11,15,285,32,2,0,2216,5,0,0,1,0,0,2,2,0,0,93,0,0.35613290000000003,0.0091421,"2,2,10",058(om)
"CIHR DOD WU3IROC_Core[2,2,2]_[8551,30032]_component_data.tif - resolution #1",0,16,21,4,0,49,0,0,0,778,1,0,3,2,1,0,44,2,0,0,1658,0,0.128125,0.23304229999999998,"2,2,2",064(om)
"CIHR DOD WU3IROC_Core[2,2,3]_[8503,31249]_component_data.tif - resolution #1",0,0,0,0,0,4,0,0,0,115,0,0,9,0,0,0,20,3,0,0,3370,0,0.0295119,0.3504335,"2,2,3",063(ab)
"CIHR DOD WU3IROC_Core[2,2,4]_[8408,32442]_component_data.tif - resolution #1",0,3,4,0,0,29,1,0,0,196,1,0,1,3,0,0,24,1,0,0,3293,1,0.0403644,0.3448886,"2,2,4",063(ab)
"CIHR DOD WU3IROC_Core[2,2,5]_[8384,33587]_component_data.tif - resolution #1",57,118,37,22,12,77,37,8,0,713,18,5,26,13,11,13,105,8,3,0,2179,12,0.1064557,0.23580279999999998,"2,2,5",060(om)
"CIHR DOD WU3IROC_Core[2,2,6]_[8360,34709]_component_data.tif - resolution #1",91,129,38,19,20,81,1,3,0,614,29,11,26,15,14,39,150,8,1,0,2069,23,0.0891291,0.2505628,"2,2,6",060(om)
"CIHR DOD WU3IROC_Core[2,2,7]_[8312,35998]_component_data.tif - resolution #1",0,5,1,2,0,34,0,0,0,543,1,0,3,1,3,1,25,4,0,0,2449,1,0.0620099,0.33014059999999995,"2,2,7",059(om)
"CIHR DOD WU3IROC_Core[2,2,8]_[8288,37191]_component_data.tif - resolution #1",0,6,8,1,2,39,0,0,0,780,1,0,4,1,3,1,23,1,0,0,2227,0,0.10374660000000001,0.283211,"2,2,8",059(om)
